annee,departement,sexe,cause,indicateur,valeur
2023,01,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,24.4
2023,02,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,30.0
2023,03,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,21.0
2023,04,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,17.5
2023,05,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,22.5
2023,06,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,24.2
2023,07,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,22.1
2023,08,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,32.7
2023,09,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,18.2
2023,10,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,19.1
2023,11,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,22.1
2023,12,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,18.2
2023,13,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,21.4
2023,14,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,27.4
2023,15,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,35.5
2023,16,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,30.4
2023,17,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,19.4
2023,18,Hommes,1. Maladies infectieuses et parasitaires,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,21.4
